Inek_ID,Irk,Yas,Agirlik_kg,Dogum_Sayisi,Laktasyon_Asamasi,Ureme_Durumu,Yem_Tipi,Yem_Miktari_kg_gun,Yemleme_Sikligi,Su_Tuketimi_L_gun,Walking_Distance(km/day),Grazing_Duration(hrs/day),Rumination_Time(hrs/day),Resting_Hours(hrs/day),Vucut_Sicakligi_C,Nabiz_bpm,Asi_Durumu,Gecmis_Hastaliklar,Saglik_Uyarilari,Ortam_Sicakligi_C,Nem_Yuzde,Mevsim,Barinak_Kosullari,Sut_Verimi_L_gun
COW_0023,Sahiwal,3,575,6,Dry,Open,Dry Fodder,11.7,3,41,2.7,7.8,4.0,7.4,38.6,61,No,None,High Temp,31.5,80,Summer,Clean,6.3
COW_0024,Jersey,6,535,3,Dry,Inseminated,Dry Fodder,22.6,3,34,4.69,2.9,9.3,7.2,39.4,66,No,Mastitis,High Temp,34.2,37,Summer,Moderate,6.0
COW_0025,Jersey,8,470,3,Mid,Open,Green Fodder,13.2,3,31,4.22,2.1,8.4,8.0,38.5,54,Yes,Digestive Disorder,Low Activity,22.1,71,Summer,Clean,16.5
COW_0026,Sahiwal,3,561,1,Late,Pregnant,Concentrate,13.4,4,33,2.42,7.8,4.6,9.1,39.2,71,No,Mastitis,High Temp,20.2,80,Monsoon,Poor,5.7
COW_0027,Holstein,2,366,5,Late,Open,Dry Fodder,14.9,3,68,1.4,3.4,4.5,10.4,38.5,48,Yes,Mastitis,Low Activity,19.9,80,Summer,Moderate,7.0
COW_0028,Jersey,7,573,3,Mid,Pregnant,Concentrate,24.5,2,55,2.42,2.4,5.9,7.6,38.4,57,Yes,None,High Temp,26.7,68,Monsoon,Moderate,6.6
COW_0029,Holstein,8,594,3,Mid,Pregnant,Green Fodder,14.4,4,62,2.41,7.5,4.7,8.4,37.9,49,Yes,None,Low Activity,30.7,78,Summer,Poor,12.9
COW_0030,Gir,8,563,1,Mid,Pregnant,Green Fodder,19.2,2,56,2.5,6.7,7.2,11.4,39.1,69,No,Mastitis,High Temp,18.0,80,Summer,Moderate,7.9
COW_0031,Sahiwal,7,545,4,Late,Pregnant,Dry Fodder,15.5,3,42,3.7,3.2,6.2,8.6,38.2,55,Yes,Mastitis,High Temp,35.1,56,Winter,Moderate,10.4
COW_0032,Sahiwal,4,357,5,Dry,Open,Concentrate,10.8,4,37,3.48,3.5,9.1,9.8,38.6,42,Yes,Digestive Disorder,Low Activity,24.1,65,Winter,Clean,19.5
COW_0033,Sahiwal,9,351,3,Late,Pregnant,Dry Fodder,22.3,2,69,2.41,3.6,9.7,6.7,39.2,50,No,Mastitis,Normal,21.2,57,Monsoon,Clean,6.3
COW_0034,Jersey,9,303,4,Early,Inseminated,Green Fodder,11.7,2,47,4.83,5.0,6.9,8.0,38.7,74,Yes,None,Normal,36.2,57,Winter,Clean,12.9
COW_0035,Gir,3,570,4,Mid,Inseminated,Green Fodder,14.1,2,44,1.13,6.7,8.2,9.3,38.8,79,No,Digestive Disorder,Normal,37.6,49,Summer,Moderate,19.2
COW_0036,Jersey,4,487,6,Dry,Inseminated,Concentrate,12.4,4,46,2.51,5.1,9.1,11.6,39.0,47,Yes,None,Normal,36.2,76,Summer,Poor,9.9
COW_0037,Sahiwal,8,377,4,Late,Open,Dry Fodder,22.1,3,56,2.12,2.8,4.1,10.5,39.1,58,Yes,FMD,Normal,17.2,55,Summer,Moderate,13.6
COW_0038,Jersey,8,459,3,Early,Open,Green Fodder,14.5,2,63,3.16,2.3,7.4,10.3,39.1,75,No,None,Low Activity,39.3,69,Monsoon,Poor,11.3
COW_0039,Holstein,8,319,1,Mid,Inseminated,Dry Fodder,18.2,4,45,4.05,6.5,6.4,10.4,37.5,47,Yes,FMD,High Temp,33.3,89,Summer,Clean,15.1
COW_0040,Sahiwal,6,353,3,Late,Pregnant,Dry Fodder,24.2,4,58,3.89,6.2,8.1,10.9,38.8,40,No,None,Low Activity,19.9,33,Winter,Poor,5.5
COW_0041,Jersey,9,323,5,Early,Inseminated,Concentrate,12.6,4,67,1.67,5.6,6.2,10.2,39.0,68,Yes,None,Normal,23.0,70,Summer,Clean,12.1
COW_0042,Jersey,9,470,5,Mid,Pregnant,Concentrate,14.8,2,57,4.7,6.0,4.3,7.8,39.5,63,No,Digestive Disorder,Low Activity,38.9,68,Summer,Clean,6.8
COW_0043,Sahiwal,3,481,4,Mid,Open,Concentrate,15.0,3,37,1.6,6.3,6.9,6.8,39.5,65,Yes,None,Low Activity,20.7,42,Summer,Moderate,9.6
COW_0044,Sahiwal,3,574,4,Mid,Inseminated,Dry Fodder,21.7,4,51,4.38,4.4,4.6,10.0,38.1,48,Yes,Mastitis,High Temp,23.6,55,Winter,Poor,18.5
COW_0045,Holstein,9,446,3,Early,Pregnant,Dry Fodder,16.7,2,53,2.12,2.0,8.0,11.1,38.1,77,No,Digestive Disorder,High Temp,19.7,55,Winter,Moderate,15.2
COW_0046,Jersey,8,599,6,Late,Open,Dry Fodder,13.4,2,63,4.94,5.0,8.9,8.5,38.0,61,Yes,Mastitis,Low Activity,19.8,66,Summer,Clean,11.2
COW_0047,Gir,3,379,1,Early,Open,Green Fodder,23.6,4,67,4.83,5.2,5.5,11.1,39.0,72,Yes,Digestive Disorder,High Temp,38.6,34,Summer,Moderate,9.7
COW_0048,Jersey,10,400,5,Late,Inseminated,Concentrate,24.0,2,53,4.46,7.3,9.4,6.6,39.5,48,No,Digestive Disorder,High Temp,26.6,40,Summer,Moderate,17.8
COW_0049,Holstein,5,513,2,Mid,Pregnant,Concentrate,12.6,4,53,4.39,2.4,9.9,8.4,39.3,80,No,None,Low Activity,21.8,76,Summer,Moderate,8.3
COW_0050,Gir,6,443,4,Early,Open,Concentrate,18.3,2,38,2.47,4.2,9.2,10.2,39.5,73,No,None,High Temp,38.4,40,Winter,Poor,10.6
COW_0051,Holstein,2,402,2,Late,Inseminated,Concentrate,13.4,3,44,4.19,7.7,6.3,6.7,39.1,56,Yes,None,Normal,31.2,30,Monsoon,Moderate,14.7
COW_0052,Holstein,6,551,3,Late,Pregnant,Green Fodder,21.3,4,33,2.9,7.6,8.1,8.0,39.3,68,No,FMD,Low Activity,33.1,90,Summer,Poor,15.1
COW_0053,Holstein,2,496,4,Mid,Open,Green Fodder,24.3,4,53,3.56,2.5,4.2,8.0,37.9,40,Yes,FMD,Normal,22.1,37,Summer,Clean,14.0
COW_0054,Sahiwal,7,492,3,Late,Open,Concentrate,20.6,2,50,4.13,4.3,7.8,9.3,39.2,66,Yes,FMD,High Temp,31.4,85,Winter,Clean,8.5
COW_0055,Gir,3,338,6,Dry,Pregnant,Dry Fodder,23.5,4,37,2.85,6.8,6.0,7.1,37.8,64,Yes,Digestive Disorder,Normal,23.2,78,Summer,Clean,8.0
COW_0056,Holstein,4,548,5,Dry,Open,Concentrate,18.1,2,54,3.75,5.4,9.7,6.3,38.9,47,Yes,Mastitis,Low Activity,20.1,65,Summer,Moderate,8.9
COW_0057,Jersey,3,427,4,Early,Pregnant,Concentrate,23.5,4,65,4.39,4.6,4.2,6.5,39.3,79,Yes,FMD,Normal,22.4,87,Winter,Moderate,8.9
COW_0058,Gir,6,339,3,Dry,Open,Dry Fodder,16.3,2,66,2.59,4.1,8.8,6.3,38.6,78,Yes,FMD,Normal,34.3,79,Winter,Clean,9.9
COW_0059,Sahiwal,4,355,6,Late,Inseminated,Dry Fodder,20.6,2,38,4.36,3.9,9.5,10.6,38.4,50,No,Mastitis,Normal,16.6,31,Summer,Poor,15.4
COW_0060,Holstein,6,585,3,Dry,Open,Green Fodder,19.0,3,69,1.41,7.7,9.1,11.3,37.6,56,No,None,Normal,30.0,90,Summer,Moderate,19.2
COW_0061,Sahiwal,4,476,6,Dry,Open,Dry Fodder,14.8,2,37,4.89,2.2,6.9,10.8,39.4,57,Yes,None,Normal,28.2,59,Winter,Clean,7.5
COW_0062,Jersey,9,595,6,Dry,Inseminated,Green Fodder,24.8,3,39,4.98,2.3,4.4,8.1,37.6,63,No,None,Low Activity,33.7,39,Winter,Moderate,5.6
COW_0063,Gir,4,346,6,Dry,Pregnant,Green Fodder,14.7,3,65,1.19,2.0,4.5,8.6,38.6,60,Yes,None,Low Activity,25.6,77,Winter,Moderate,15.6
COW_0064,Gir,10,522,3,Dry,Pregnant,Concentrate,10.9,3,33,1.6,4.6,9.7,9.6,38.5,69,Yes,Mastitis,Low Activity,24.9,36,Winter,Moderate,13.3
COW_0065,Jersey,9,541,1,Dry,Inseminated,Green Fodder,20.1,4,57,4.9,3.8,4.5,10.0,37.7,69,No,Mastitis,Low Activity,29.1,58,Winter,Moderate,7.3
COW_0066,Jersey,6,396,2,Dry,Pregnant,Dry Fodder,17.1,3,50,4.83,6.0,9.0,10.8,38.4,57,Yes,FMD,High Temp,39.8,37,Summer,Clean,6.7
COW_0067,Holstein,5,305,1,Early,Pregnant,Green Fodder,16.9,3,58,1.38,7.0,9.4,11.2,38.0,58,No,Mastitis,High Temp,21.1,49,Winter,Poor,12.0
COW_0068,Gir,7,443,3,Early,Inseminated,Dry Fodder,16.9,2,37,2.33,4.2,6.1,8.4,39.4,46,No,Digestive Disorder,High Temp,17.4,71,Winter,Poor,12.7
COW_0069,Gir,3,588,3,Dry,Pregnant,Concentrate,18.4,2,55,2.99,2.2,8.2,11.4,39.4,55,No,FMD,Low Activity,38.2,35,Monsoon,Clean,12.5
COW_0070,Jersey,6,507,6,Dry,Pregnant,Dry Fodder,21.3,3,63,3.02,3.2,7.7,8.8,37.6,58,Yes,Mastitis,Low Activity,36.2,66,Monsoon,Poor,10.2
COW_0071,Holstein,6,386,5,Dry,Open,Dry Fodder,22.7,3,41,4.18,6.3,9.6,10.7,39.2,56,No,Mastitis,Normal,38.0,44,Winter,Clean,12.7
COW_0072,Holstein,10,425,3,Late,Open,Green Fodder,22.6,3,67,1.01,5.0,4.7,8.4,38.5,72,No,FMD,Low Activity,29.8,31,Summer,Clean,17.1
COW_0073,Sahiwal,7,361,4,Early,Pregnant,Dry Fodder,10.5,2,67,4.08,3.3,4.0,8.5,38.0,42,No,Mastitis,Normal,20.7,33,Winter,Poor,16.3
COW_0074,Sahiwal,5,408,2,Early,Inseminated,Concentrate,20.8,3,64,1.3,4.0,9.2,8.9,38.9,48,Yes,Mastitis,Low Activity,20.0,34,Summer,Poor,14.0
COW_0075,Sahiwal,8,331,1,Late,Inseminated,Concentrate,20.1,2,32,1.99,5.2,5.7,8.1,37.8,44,Yes,Digestive Disorder,Low Activity,19.7,78,Monsoon,Clean,16.0
COW_0076,Sahiwal,7,516,4,Dry,Inseminated,Dry Fodder,20.9,4,60,1.18,7.3,9.1,7.2,38.1,45,Yes,Mastitis,Normal,32.6,32,Winter,Clean,17.3
COW_0077,Sahiwal,8,463,5,Dry,Pregnant,Dry Fodder,15.5,3,30,3.39,2.4,5.7,10.8,39.2,74,Yes,FMD,High Temp,31.1,69,Winter,Clean,17.4
COW_0078,Sahiwal,2,321,1,Early,Inseminated,Green Fodder,22.3,3,55,2.99,6.3,4.8,7.9,38.9,70,Yes,Mastitis,Low Activity,18.7,80,Summer,Poor,6.1
COW_0079,Sahiwal,8,462,1,Early,Open,Dry Fodder,23.0,2,53,3.76,4.5,8.2,11.8,38.1,44,No,Mastitis,High Temp,33.7,86,Summer,Poor,12.1
COW_0080,Holstein,6,444,2,Early,Open,Green Fodder,17.2,4,57,2.9,7.0,7.5,10.6,39.3,68,Yes,Digestive Disorder,Normal,30.2,88,Monsoon,Clean,18.9
COW_0081,Jersey,4,471,6,Dry,Pregnant,Green Fodder,12.2,2,34,1.91,4.5,4.9,6.0,37.5,67,Yes,None,High Temp,30.0,66,Winter,Clean,12.4
COW_0082,Sahiwal,7,460,4,Dry,Open,Concentrate,18.0,4,48,4.95,5.6,9.7,9.1,38.9,68,Yes,None,High Temp,32.9,56,Summer,Clean,11.0
COW_0083,Holstein,8,379,1,Mid,Inseminated,Concentrate,18.0,2,63,4.49,5.5,7.2,12.0,38.7,79,No,FMD,Low Activity,25.2,81,Winter,Clean,13.2
COW_0084,Sahiwal,3,514,5,Early,Open,Green Fodder,21.4,4,43,2.09,8.0,5.0,11.6,38.1,68,No,None,High Temp,35.8,34,Monsoon,Clean,7.7
COW_0085,Holstein,6,398,5,Late,Open,Concentrate,17.0,2,37,1.08,5.3,6.8,7.7,39.4,75,Yes,Digestive Disorder,Normal,24.8,68,Summer,Moderate,5.8
COW_0086,Gir,6,486,2,Late,Inseminated,Green Fodder,20.4,4,39,3.73,6.5,4.9,11.5,38.6,78,No,None,Low Activity,15.4,65,Summer,Poor,10.4
COW_0087,Gir,2,354,3,Dry,Inseminated,Green Fodder,14.5,4,61,4.2,6.1,5.7,7.6,38.0,44,Yes,Digestive Disorder,High Temp,36.2,39,Summer,Clean,8.4
COW_0088,Holstein,3,503,3,Mid,Inseminated,Dry Fodder,21.6,4,32,3.11,7.7,8.6,7.7,37.6,67,Yes,Mastitis,High Temp,23.2,60,Monsoon,Clean,7.6
COW_0089,Jersey,7,599,6,Mid,Pregnant,Green Fodder,22.9,2,49,4.07,4.5,6.1,7.7,37.7,56,No,FMD,High Temp,16.6,61,Winter,Clean,16.6
COW_0090,Gir,6,574,4,Early,Pregnant,Dry Fodder,18.8,3,34,3.61,4.2,5.2,6.6,38.4,45,No,Mastitis,Low Activity,30.8,53,Winter,Clean,6.2
COW_0091,Sahiwal,8,439,5,Dry,Inseminated,Dry Fodder,18.9,2,37,4.59,3.5,5.6,8.4,38.1,60,No,Digestive Disorder,Normal,32.6,50,Winter,Moderate,14.3
COW_0092,Sahiwal,4,312,5,Mid,Inseminated,Green Fodder,19.5,4,46,1.43,5.6,8.8,10.5,37.9,59,No,Mastitis,Normal,25.4,61,Winter,Clean,6.3
COW_0093,Gir,9,420,1,Early,Inseminated,Concentrate,19.5,2,64,3.12,6.8,5.6,6.1,38.2,54,No,FMD,Normal,18.4,81,Monsoon,Moderate,12.5
COW_0094,Sahiwal,7,358,2,Early,Inseminated,Dry Fodder,10.1,4,57,3.52,5.6,6.8,11.8,39.2,40,No,Mastitis,High Temp,31.5,48,Winter,Clean,7.9
COW_0095,Holstein,4,545,1,Late,Open,Concentrate,16.0,4,58,1.45,4.1,5.8,8.6,39.3,43,Yes,Digestive Disorder,Low Activity,28.3,90,Winter,Clean,14.8
COW_0096,Holstein,9,514,6,Dry,Open,Green Fodder,21.2,2,46,1.85,2.9,7.6,11.9,38.4,78,Yes,None,High Temp,17.4,45,Winter,Moderate,14.0
COW_0097,Jersey,2,523,5,Early,Inseminated,Dry Fodder,14.5,3,60,2.69,4.1,6.0,8.1,39.4,66,No,FMD,Low Activity,19.0,30,Monsoon,Moderate,12.8
COW_0098,Holstein,10,483,1,Dry,Open,Concentrate,19.8,2,64,3.3,5.3,6.5,9.3,38.9,71,Yes,Mastitis,High Temp,19.9,71,Summer,Moderate,15.8
COW_0099,Jersey,10,557,1,Early,Open,Concentrate,11.0,2,39,4.77,2.5,8.1,9.8,38.0,58,No,None,Low Activity,35.3,86,Winter,Clean,10.2
COW_0100,Holstein,10,532,2,Mid,Inseminated,Green Fodder,20.7,4,45,3.81,6.3,9.6,8.0,37.7,80,Yes,Digestive Disorder,Low Activity,27.3,82,Winter,Poor,15.2
COW_0101,Holstein,10,407,6,Early,Pregnant,Concentrate,20.7,2,43,2.15,4.9,5.8,8.8,39.2,52,No,Digestive Disorder,High Temp,17.0,60,Monsoon,Moderate,7.7
COW_0102,Gir,2,305,2,Late,Open,Dry Fodder,17.8,3,44,4.25,6.0,5.0,7.8,37.6,46,No,FMD,High Temp,20.6,70,Monsoon,Poor,14.4
COW_0103,Jersey,3,520,1,Dry,Inseminated,Concentrate,16.7,3,52,1.23,4.7,6.1,8.3,39.4,56,No,None,Normal,39.5,77,Monsoon,Poor,8.8
COW_0104,Jersey,9,567,6,Mid,Inseminated,Dry Fodder,13.3,2,44,4.56,4.2,8.6,6.1,38.6,43,No,FMD,High Temp,29.3,32,Monsoon,Clean,9.5
COW_0105,Jersey,6,560,3,Late,Open,Dry Fodder,18.8,3,39,1.1,3.1,5.2,6.3,38.2,61,No,Digestive Disorder,Normal,31.3,45,Summer,Moderate,5.4
COW_0106,Holstein,4,389,5,Dry,Pregnant,Dry Fodder,19.3,2,57,2.34,3.6,10.0,10.3,38.8,72,No,FMD,Normal,16.5,77,Monsoon,Clean,10.6
COW_0107,Holstein,6,516,6,Dry,Pregnant,Concentrate,10.9,4,33,2.09,3.5,5.5,6.5,37.5,77,No,Digestive Disorder,High Temp,35.8,42,Winter,Clean,18.8
COW_0108,Sahiwal,3,407,6,Mid,Inseminated,Dry Fodder,15.7,2,56,2.19,3.2,7.2,10.9,39.2,44,Yes,Mastitis,Low Activity,30.3,75,Monsoon,Clean,8.0
COW_0109,Jersey,3,540,5,Dry,Pregnant,Dry Fodder,20.5,4,40,1.69,4.7,7.5,9.0,37.5,46,No,Digestive Disorder,High Temp,21.7,50,Summer,Poor,6.9
COW_0110,Gir,4,557,3,Mid,Open,Green Fodder,24.0,3,55,1.32,6.9,6.1,11.9,39.1,69,No,FMD,High Temp,27.7,83,Monsoon,Clean,11.3
COW_0111,Jersey,7,330,3,Mid,Inseminated,Green Fodder,19.7,3,35,2.39,6.2,9.7,7.4,39.4,69,No,None,Normal,25.7,37,Summer,Clean,8.5
COW_0112,Holstein,3,379,4,Dry,Inseminated,Concentrate,24.8,2,65,2.95,6.6,9.5,10.7,39.3,73,Yes,Mastitis,Low Activity,25.4,58,Summer,Clean,11.1
COW_0113,Holstein,5,501,5,Mid,Pregnant,Concentrate,22.0,3,41,2.69,6.1,6.8,9.3,39.0,59,Yes,Digestive Disorder,High Temp,34.1,71,Summer,Moderate,13.2
COW_0114,Jersey,2,520,4,Late,Open,Green Fodder,12.2,2,54,3.02,2.5,5.7,9.3,39.1,54,No,FMD,Low Activity,28.2,83,Winter,Clean,9.0
COW_0115,Sahiwal,3,341,3,Late,Inseminated,Concentrate,13.4,4,34,2.54,7.3,8.8,8.4,38.5,41,Yes,None,High Temp,17.3,37,Monsoon,Poor,14.0
COW_0116,Jersey,6,445,6,Dry,Inseminated,Green Fodder,15.2,3,70,3.82,7.8,7.0,6.4,39.5,68,Yes,FMD,Normal,21.6,66,Summer,Poor,6.0
COW_0117,Gir,10,452,1,Late,Pregnant,Dry Fodder,23.7,3,40,1.64,7.2,7.9,11.6,37.9,48,No,Mastitis,High Temp,30.9,60,Monsoon,Poor,10.6
COW_0118,Sahiwal,5,438,6,Late,Pregnant,Green Fodder,11.5,3,56,2.8,2.6,9.5,7.5,38.2,51,No,FMD,Low Activity,21.6,75,Winter,Moderate,13.5
COW_0119,Holstein,2,583,2,Mid,Pregnant,Green Fodder,22.2,2,37,3.44,4.4,7.1,10.0,37.8,70,Yes,Mastitis,Normal,37.7,35,Summer,Moderate,13.6
COW_0120,Holstein,7,492,3,Early,Open,Concentrate,15.9,2,65,4.18,3.9,8.8,9.8,37.6,72,No,Mastitis,High Temp,22.1,64,Monsoon,Moderate,16.4
COW_0121,Jersey,10,540,5,Early,Inseminated,Concentrate,20.8,3,41,2.49,2.8,7.6,7.0,39.1,41,Yes,Mastitis,Normal,28.2,63,Winter,Clean,10.2
COW_0122,Holstein,8,479,4,Dry,Inseminated,Concentrate,15.1,3,62,3.68,3.5,8.0,8.1,38.1,47,Yes,Mastitis,High Temp,29.9,52,Winter,Poor,10.2
COW_0123,Holstein,2,394,2,Dry,Open,Green Fodder,22.0,2,59,4.86,7.5,9.0,8.5,38.8,64,No,Mastitis,High Temp,28.4,73,Monsoon,Poor,19.2
COW_0124,Jersey,4,453,6,Dry,Open,Dry Fodder,24.4,4,35,3.57,5.1,5.1,8.2,38.2,56,No,Mastitis,High Temp,22.6,81,Monsoon,Poor,9.7
COW_0125,Sahiwal,4,384,1,Mid,Inseminated,Concentrate,13.1,3,60,2.9,4.3,6.2,8.9,37.5,63,Yes,FMD,High Temp,25.7,56,Monsoon,Clean,19.4
COW_0126,Holstein,2,547,5,Mid,Pregnant,Concentrate,18.5,4,39,4.09,2.2,9.5,10.5,38.9,41,No,None,Normal,23.0,30,Summer,Poor,10.6
COW_0127,Sahiwal,7,328,5,Late,Inseminated,Dry Fodder,21.0,2,63,4.73,6.0,10.0,9.0,37.7,45,No,Digestive Disorder,High Temp,35.6,77,Summer,Poor,9.2
COW_0128,Jersey,3,530,2,Mid,Pregnant,Concentrate,12.1,2,37,2.17,7.9,7.6,9.1,38.6,53,Yes,Digestive Disorder,Low Activity,29.7,88,Summer,Poor,15.4
COW_0129,Holstein,5,405,1,Late,Inseminated,Concentrate,12.5,4,39,2.36,6.8,6.6,8.9,39.3,52,No,None,Normal,34.1,74,Winter,Moderate,10.0
COW_0130,Jersey,3,323,5,Mid,Pregnant,Dry Fodder,10.7,4,33,4.0,3.6,9.6,7.5,38.6,79,Yes,Mastitis,Low Activity,25.5,68,Monsoon,Moderate,18.7
COW_0131,Jersey,9,439,6,Early,Open,Dry Fodder,17.5,3,52,4.28,3.3,9.3,10.7,38.1,52,Yes,None,Normal,25.6,74,Monsoon,Moderate,6.2
COW_0132,Gir,9,373,4,Late,Pregnant,Concentrate,23.4,3,67,3.24,7.8,7.6,7.1,39.3,60,Yes,Mastitis,High Temp,24.8,30,Monsoon,Clean,9.9
COW_0133,Holstein,3,405,6,Mid,Open,Green Fodder,22.8,2,34,4.18,6.9,7.4,9.4,38.8,78,No,Mastitis,Low Activity,30.9,45,Monsoon,Moderate,10.0
COW_0134,Sahiwal,9,542,2,Dry,Open,Dry Fodder,16.9,4,61,2.94,4.7,8.0,11.7,38.4,42,No,Mastitis,High Temp,27.9,80,Monsoon,Poor,17.6
COW_0135,Holstein,3,571,4,Dry,Inseminated,Concentrate,20.6,4,58,3.1,6.7,7.2,11.9,37.9,67,No,None,Normal,28.9,34,Monsoon,Poor,15.9
COW_0136,Jersey,5,551,3,Late,Open,Dry Fodder,15.4,2,37,3.9,7.9,8.7,11.9,38.2,72,No,None,Normal,37.3,83,Summer,Poor,17.3
COW_0137,Jersey,5,435,3,Mid,Pregnant,Concentrate,15.2,2,32,3.86,3.8,5.6,6.9,37.6,43,No,FMD,Low Activity,31.2,45,Winter,Poor,18.0
COW_0138,Jersey,10,392,5,Early,Inseminated,Green Fodder,23.6,4,52,2.87,4.3,7.3,12.0,38.4,40,Yes,None,Low Activity,39.8,58,Winter,Clean,13.7
COW_0139,Sahiwal,10,591,3,Early,Open,Dry Fodder,17.8,4,52,1.61,3.8,4.8,11.3,38.8,73,Yes,Digestive Disorder,Low Activity,19.0,48,Monsoon,Moderate,16.5
COW_0140,Holstein,6,458,1,Dry,Inseminated,Concentrate,21.2,2,54,1.41,6.5,4.1,6.1,37.5,75,Yes,Digestive Disorder,Low Activity,20.6,72,Winter,Clean,13.9
COW_0141,Sahiwal,10,369,4,Mid,Pregnant,Concentrate,12.1,2,50,4.96,2.8,9.5,10.1,37.9,55,Yes,None,Low Activity,16.6,57,Monsoon,Moderate,7.2
